Taxon,pk_freq,F_Hz,log10Hz,min_freq,body_mass,log10mass,ln_mass,family,fam,order,phyloname,phyloname2,Species,Dichr,SongRepSize,MinLat,climPC1,climPC2,newVeg
Pheucticus_chrysogaster,3.014,3014,3.479143248,1.598,55.8,1.746634199,4.021773869,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Pheucticus_chrysogaster,Pheucticus chrysogaster,chrysogaster,7,,-17.27191162,-0.395805579,-0.489416823,Non-forest
Pheucticus_ludovicianus,2.897,2897,3.461948495,1.501,42,1.62324929,3.737669618,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Pheucticus_ludovicianus,Pheucticus ludovicianus,ludovicianus,10,220,33.98413086,-0.112869633,-0.164773103,Non-forest
Pheucticus_melanocephalus,2.885,2885,3.460145817,1.4695,46.1,1.663700925,3.83081295,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Pheucticus_melanocephalus,Pheucticus melanocephalus,melanocephalus,10,,16.29168701,-0.71400322,0.243128364,Forest
Pheucticus_tibialis,3.463,3463,3.539452492,1.961,62.3,1.794488047,4.131961426,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Pheucticus_tibialis,Pheucticus tibialis,tibialis,4,,8.409912109,-1.089017835,1.320716463,Non-forest
Piranga_ludoviciana,2.84,2840,3.45331834,1.78,28.1,1.44870632,3.335769576,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Piranga_ludoviciana,Piranga ludoviciana,ludoviciana,9,220,29.41229248,-0.112869633,-0.164773103,Forest
Piranga_rubra,2.67,2670,3.426511261,,28.2,1.450249108,3.339321978,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Piranga_rubra,Piranga rubra,rubra,10,220,24.4954834,-1.480099275,0.852289419,Forest
Saltator_albicollis,3.029,3029,3.481299273,1.702,41.07777778,1.613606941,3.715467289,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_albicollis,Saltator albicollis,albicollis,0,,13.70489502,-0.112869633,-0.164773103,Non-forest
Saltator_atriceps,3.776,3776,3.577031986,1.467,83.77272727,1.923102654,4.428107504,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_atriceps,Saltator atriceps,atriceps,0,,7.890502929,1.159935509,-0.912988217,Non-forest
Saltator_atricollis,4.451,4451,3.648457594,2.012,53.8,1.730782276,3.985273467,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_atricollis,Saltator atricollis,atricollis,0,,-25.56268311,-1.553092994,0.862227051,Non-forest
Saltator_atripennis,2.683,2683,3.428620673,1.975,55,1.740362689,4.007333185,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_atripennis,Saltator atripennis,atripennis,0,,-3.977294922,-0.112869633,-0.164773103,Forest
Saltator_aurantiirostris,3.707,3707,3.569022586,1.729,39,1.591064607,3.663561646,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_aurantiirostris,Saltator aurantiirostris,aurantiirostris,3,,-41.16638184,-0.118618509,-0.920001141,Non-forest
Saltator_coerulescens,2.802,2802,3.447468131,1.534,54.9,1.739572344,4.005513349,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_coerulescens,Saltator coerulescens,coerulescens,0,,-34.28302002,-0.574859885,0.502230949,Non-forest
Saltator_grossus,2.255,2255,3.353146546,1.632,44.2,1.645422269,3.788724789,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_grossus,Saltator grossus,grossus,6,,-17.418396,-0.52597433,0.250856992,Forest
Saltator_maximus,3.579,3579,3.553761698,1.941,46.2,1.664641976,3.832979798,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_maximus,Saltator maximus,maximus,0,,-23.10302734,-0.201573689,0.986574422,Non-forest
Saltator_orenocensis,4.089,4089,3.611617111,2.011,33.7,1.527629901,3.517497837,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_orenocensis,Saltator orenocensis,orenocensis,0,,5.341125488,0.887939804,0.183374392,Non-forest
Saltator_similis,2.893,2893,3.461348434,1.773,43.3,1.636487896,3.768152635,Cardinalidae,"Cardinals, grosbeaks and allies",Passeriformes,Saltator_similis,Saltator similis,similis,0,,-33.43731689,-0.112869633,-0.164773103,Forest
Certhia_americana,5.58,5580,3.746634199,4.26,8.1,0.908485019,2.091864062,Certhiidae,Treecreepers,Passeriformes,Certhia_americana,Certhia americana,americana,0,,12.86086725,0.19547189,-1.018820953,Forest
Certhia_brachydactyla,5.76,5760,3.760422483,4.68,8.2,0.913813852,2.104134154,Certhiidae,Treecreepers,Passeriformes,Certhia_brachydactyla,Certhia brachydactyla,brachydactyla,0,,30.58704824,-0.098136477,-0.45305116,Forest
Certhia_familiaris,4.75,4750,3.67669361,2.9,9,0.954242509,2.197224577,Certhiidae,Treecreepers,Passeriformes,Certhia_familiaris,Certhia familiaris,familiaris,0,1,25.83159037,-0.660394477,1.039334199,Forest
Charadrius_alexandrinus,2.39,2390,3.378397901,0.9,42.3,1.626340367,3.744787086,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_alexandrinus,Charadrius alexandrinus,alexandrinus,2,,-17.32920672,-0.112869633,-0.164773103,Non-forest
Charadrius_dubius,2.95,2950,3.469822016,1.89,38.7,1.587710965,3.6558396,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_dubius,Charadrius dubius,dubius,3,,-10.43611019,-0.112869633,-0.164773103,Non-forest
Charadrius_hiaticula,2.15,2150,3.33243846,1.14,63.3,1.80140371,4.147885329,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_hiaticula,Charadrius hiaticula,hiaticula,1,,47.84589385,-0.558623487,-0.446508647,Non-forest
Charadrius_leschenaultii,3.62,3620,3.558708571,1.2,74.8,1.873901598,4.314817885,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_leschenaultii,Charadrius leschenaultii,leschenaultii,4,,31.80081,-1.739992374,0.096779841,Non-forest
Charadrius_melodus,2.54,2540,3.404833717,1.61,54.4,1.7355989,3.996364154,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_melodus,Charadrius melodus,melodus,2,,35.32135,-1.933848344,-0.187216798,Non-forest
Charadrius_mongolus,3.53,3530,3.547774705,2.32,64,1.806179974,4.158883083,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_mongolus,Charadrius mongolus,mongolus,4,,-8.335146241,-0.098993608,-0.426866404,Non-forest
Charadrius_ruficapillus,4.47,4470,3.650307523,0.94,37.4,1.572871602,3.621670704,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_ruficapillus,Charadrius ruficapillus,ruficapillus,2,,-43.64397419,-2.1216896,0.447632753,Non-forest
Charadrius_semipalmatus,2.11,2110,3.324282455,1.01,47.4,1.675778342,3.858622229,Charadriidae,Plovers and lapwings,Charadriiformes,Charadrius_semipalmatus,Charadrius semipalmatus,semipalmatus,2,,43.39184187,-0.112869633,-0.164773103,Non-forest
